,닉네임,ID,내용,날짜,시간
10,NM,@GJPPL10,"RT @daniel_arory: 기사좋네~~ 역시다 역시

[우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/HjpQS1PQZq

#강다니엘 #KANGDANIEL @konnect…",2021-09-02,08:34:03
11,神田19961210kd,@k19961210d,RT @shinydank2: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/vvvESwdrSM,2021-09-02,08:33:59
12,녤사랑,@namuya1019,RT @jjkdniel2: 스우파2화 강다니엘 리액션캠 댄스모먼트 https://t.co/H0cHaOdE7X,2021-09-02,08:33:35
13,루피오넬 danity💕,@dmh050328,"RT @DanielK_album: 📢강다니엘음서팀 추가 앨범 기부모금 선물 - 슬리퍼

노랑이에 이어 Ver.2 Black‼️
폭신폭신하고 예쁜 슬리퍼가 나에게로 슝💨

기간: 8월28일(토) ~ 9월12일 (일)
계좌 : 3333-17-539848…",2021-09-02,08:33:14
14,danielside,@danielside3,"RT @redhaird: 얘들아~!
이 기사 진짜 너무 좋다!!!!!!
사람 보는 눈은 다 같나봐..... 
아침부터 뽕차오름~😘😘

[우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아) https://t.co/Ja6Jo70…",2021-09-02,08:33:12
15,danielside,@danielside3,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:33:05
16,한러브,@hanlove72,"RT @storyblossom333: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/jA5O61NN2s

역시 울 강다니엘 짜란다👍♥️♥️♥️

@konnect_danielk…",2021-09-02,08:32:49
17,danielside,@danielside3,"RT @storyblossom333: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/jA5O61NN2s

역시 울 강다니엘 짜란다👍♥️♥️♥️

@konnect_danielk…",2021-09-02,08:32:40
18,귤𝐝αᑎ𝐢𝔼𝕃❤🦖✈,@GYULDANI,RT @sinabrodaniel: 📰 내로라하는 여성 댄스 크루들의 불꽃 튀는 대결의 중심에는 뜻밖에도 MC 강다니엘이 있습니다. 그는 무대를 뒤흔드는 댄서들 사이에서 가장 진지하고 흥미로운 눈빛으로 배틀을 관찰합니다. 금방이라도 배틀에 뛰어들고 싶…,2021-09-02,08:32:06
19,toggizzi,@toggizzi,RT @shinydank2: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/vvvESwdrSM,2021-09-02,08:30:42
20,다녤티,@OkOYpkEMRwjBvKC,"RT @kangdani_k: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/4OMwtNhVDL

#강다니엘 #KANGDANIEL  @konnect_danielk https:/…",2021-09-02,08:30:35
21,녜리사랑DANITY최수빈,@danity0819_0829,"더이상 내가 이해 해줘야 할 이유 없다고 봐요
나는 강다니엘의 행복만 바래요
@konnect_danielk",2021-09-02,08:30:33
22,toggizzi,@toggizzi,"RT @winkatniel: 강다니엘,스우파에 진심 ❤ / 스우파의 신의 한수 👍 (출처 : 시나브로 | 블로그) 
#강다니엘 #KangDaniel #스트릿우먼파이터 #스우파 #StreetWomanFighter #SWF @konnect_danielk…",2021-09-02,08:29:45
23,toggizzi,@toggizzi,"RT @KarenKim01: [네이버 블로그]
다니티들, 토닥리즘- 강다니엘과 집콕 데이트, 유튜브에 떴어요!!(유니버스)
https://t.co/crCp5qPKpT

#강다니엘 #KANGDANIEL @konnect_danielk",2021-09-02,08:29:22
24,toggizzi,@toggizzi,"RT @biglady_boss: https://t.co/F9kpZ8Djux
&lt;스우파&gt;  스테이지 위의 강다니엘
#강다니엘 #KANGDANIEL 
#스우파 #보그 #vogue
@konnect_danielk",2021-09-02,08:29:14
25,toggizzi,@toggizzi,"RT @rainb78: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/sn7vygAj2w
#강다니엘 #KANGDANIEL
@konnect_danielk https://t.co…",2021-09-02,08:28:55
26,toggizzi,@toggizzi,"RT @redhaird: 얘들아~!
이 기사 진짜 너무 좋다!!!!!!
사람 보는 눈은 다 같나봐..... 
아침부터 뽕차오름~😘😘

[우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아) https://t.co/Ja6Jo70…",2021-09-02,08:28:33
27,toggizzi,@toggizzi,"RT @winkatniel: 강다니엘, '스우파'가 둔 신의 한수 [우빈의 리듬파워] https://t.co/BhDCH2wc81 

#강다니엘 #KangDaniel #스트릿우먼파이터 #스우파 #StreetWomanFighter #SWF @konnec…",2021-09-02,08:28:29
28,toggizzi,@toggizzi,"RT @angeldanity1210: 역시 강다니엘👏👏👏

#강다니엘 #KANGDANIEL #스우파_강다니엘
@konnect_danielk

https://t.co/n8E8LBdFe0",2021-09-02,08:28:23
29,toggizzi,@toggizzi,"RT @shinydank2: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/Z0Iw2zG9Ux 

#강다니엘 #KANGDANIEL 
@konnect_danielk",2021-09-02,08:28:18
30,toggizzi,@toggizzi,"RT @jeyblue17: 첫 MC인데기분좋다 
무얼하든 다 잘할거라는거 알지만🤭
&lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/IZIlW0keyp
#강다니엘 #KANGDANIEL @konnect_danielk",2021-09-02,08:27:39
31,toggizzi,@toggizzi,"RT @kangdani_k: 강다니엘을 ‘서바이벌 오디션 프로그램에서 1위를 차지해 센터로 데뷔한 아이돌’로만 알고 있었나요? 그의 진가는 &lt;스우파&gt;에서 제대로 뿜어 나옵니다.

&lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/7ovreME…",2021-09-02,08:27:34
